A_id,Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,Quality
912,medium,low,very_high,low,low,very_high,medium,good
913,low,high,high,medium,very_low,medium,high,bad
914,very_low,low,low,very_high,medium,high,very_low,bad
915,very_high,very_low,very_high,very_high,low,very_high,very_high,good
916,high,medium,medium,very_high,very_low,very_low,medium,bad
917,medium,medium,medium,very_low,medium,low,low,good
918,medium,high,very_low,low,medium,low,low,good
919,very_low,high,very_low,very_high,medium,medium,very_low,bad
920,high,medium,high,high,low,medium,low,good
921,medium,very_high,very_low,low,high,high,medium,bad
922,high,medium,low,very_high,very_high,medium,very_low,good
923,very_low,medium,very_low,very_low,high,very_high,very_low,bad
924,low,low,very_high,high,high,low,very_high,bad
925,low,very_high,low,very_low,high,medium,very_low,good
926,very_low,low,low,medium,high,very_high,medium,bad
927,medium,very_low,very_high,high,very_high,medium,very_low,good
928,high,medium,low,high,medium,high,medium,bad
929,very_high,very_high,medium,high,low,high,very_low,good
930,high,very_high,very_low,very_high,low,high,high,good
931,low,high,medium,low,high,medium,low,bad
932,very_low,very_low,very_low,very_low,very_high,very_high,very_high,bad
933,medium,high,high,low,low,low,medium,bad
934,very_high,very_low,low,very_low,very_high,medium,very_high,good
935,low,very_low,very_high,very_high,low,low,very_low,bad
936,very_high,low,very_low,very_high,very_low,low,low,bad
937,low,low,medium,low,low,very_high,low,bad
938,very_low,very_high,high,low,medium,very_low,medium,bad
939,low,very_high,very_low,high,medium,very_low,high,good
940,very_low,very_high,very_low,medium,high,high,medium,bad
941,very_low,high,low,low,very_low,high,low,bad
942,low,medium,high,very_high,low,very_low,low,good
943,medium,very_low,medium,high,low,high,medium,bad
944,medium,very_high,low,high,high,low,medium,good
945,very_low,low,very_high,very_low,high,low,low,good
946,low,low,medium,low,low,high,low,bad
947,very_high,medium,low,medium,very_high,low,very_high,good
948,low,medium,high,very_low,medium,very_low,high,good
949,high,very_low,medium,very_high,very_high,very_low,very_high,good
950,very_high,medium,very_low,high,low,high,high,good
951,high,high,low,very_low,medium,low,very_high,good
952,high,high,high,low,medium,medium,very_low,good
953,high,very_low,very_high,very_high,high,high,low,good
954,very_high,very_low,low,medium,medium,very_high,very_low,bad
955,high,high,very_low,low,low,high,medium,bad
956,medium,high,high,medium,low,low,very_low,bad
957,very_high,low,very_low,medium,low,medium,low,good
958,very_low,low,low,very_low,very_low,very_high,very_low,bad
959,high,very_low,very_high,high,low,very_high,high,good
960,very_high,very_low,very_low,low,medium,very_high,high,good
961,high,high,very_low,very_high,very_low,very_low,low,bad
962,low,low,high,high,high,medium,low,good
963,very_low,very_high,very_high,very_low,high,low,very_low,good
964,low,very_high,very_low,low,very_low,high,high,bad
965,very_low,very_high,very_low,low,low,very_high,low,bad
966,very_high,high,very_low,low,high,medium,medium,bad
967,very_high,very_high,medium,very_high,very_low,very_low,low,bad
968,very_high,very_low,medium,very_low,very_high,low,high,good
969,low,medium,low,high,low,medium,low,bad
970,medium,low,medium,medium,very_low,medium,low,bad
971,high,low,very_low,low,high,medium,very_high,bad
972,low,high,high,low,medium,very_low,high,good
973,low,high,medium,very_high,low,very_low,low,bad
974,medium,very_low,low,very_high,very_high,very_low,very_high,good
975,medium,high,low,low,very_high,medium,very_high,bad
976,very_high,very_low,very_low,very_low,very_high,high,very_high,bad
977,high,high,low,very_high,very_low,medium,high,bad
978,low,low,medium,high,very_high,high,very_high,bad
979,very_low,very_low,high,very_high,medium,high,very_high,bad
980,medium,high,very_low,very_low,very_high,very_high,medium,bad
981,medium,very_low,very_high,medium,very_high,medium,low,good
982,very_low,high,very_high,very_low,very_high,medium,low,bad
983,very_high,low,medium,very_low,very_high,medium,very_high,good
984,very_low,high,low,low,medium,very_high,low,bad
985,low,very_high,high,very_low,high,very_low,high,good
986,medium,medium,very_low,low,high,high,high,bad
987,high,high,very_low,low,very_high,medium,medium,bad
988,high,very_low,high,very_high,high,high,medium,good
989,very_low,low,very_high,very_low,high,medium,very_low,good
990,high,very_high,low,very_high,very_low,low,medium,bad
991,high,high,medium,low,medium,very_low,very_high,bad
992,high,very_high,low,very_high,high,high,low,bad
993,medium,very_high,very_high,very_low,low,very_low,very_high,good
994,very_high,medium,high,high,low,very_low,high,good
995,high,high,low,medium,medium,low,very_low,bad
996,very_high,very_low,low,very_high,high,low,very_high,good
997,very_high,high,very_low,low,high,medium,low,bad
998,low,high,high,medium,high,medium,low,bad
999,medium,high,medium,medium,high,low,high,bad
1000,low,low,medium,high,very_low,high,high,bad
1001,medium,very_high,very_low,medium,very_low,high,high,bad
1002,very_low,high,high,medium,very_high,low,very_low,good
1003,high,very_low,low,high,medium,low,low,good
1004,high,very_low,very_low,high,very_low,very_high,medium,bad
1005,low,medium,medium,very_low,medium,medium,very_high,bad
1006,medium,high,low,medium,very_low,low,low,good
1007,medium,low,very_low,very_high,very_low,very_high,very_low,bad
1008,high,low,very_low,very_low,very_high,high,low,bad
1009,medium,medium,low,very_low,very_high,very_low,very_high,good
1010,very_low,medium,high,medium,very_high,high,very_high,bad
1011,medium,low,very_high,very_low,medium,high,very_low,good
1012,medium,medium,very_low,low,medium,low,very_high,bad
1013,high,very_high,medium,very_high,very_low,low,very_low,bad
1014,medium,very_high,low,low,medium,low,medium,bad
1015,very_high,low,very_low,very_high,low,high,high,good
1016,high,low,low,high,very_low,medium,low,bad
1017,very_high,very_low,very_low,medium,medium,high,high,bad
1018,very_high,low,high,medium,medium,very_high,low,good
1019,high,very_high,very_high,low,very_low,very_low,high,bad
1020,high,medium,low,very_low,low,high,very_low,bad
1021,very_high,low,medium,high,medium,low,very_high,good
1022,low,very_high,very_low,very_low,high,very_high,medium,bad
1023,medium,very_low,low,very_high,medium,very_low,medium,good
1024,medium,high,very_high,very_low,medium,very_low,very_high,good
1025,very_low,very_low,low,low,very_high,very_high,very_high,bad
1026,low,low,very_low,very_high,low,high,very_low,bad
1027,medium,very_low,very_high,very_high,very_low,very_low,very_low,bad
1028,medium,very_high,low,very_low,medium,medium,low,good
1029,very_low,low,very_high,high,medium,medium,medium,good
1030,very_high,medium,high,very_high,low,high,low,good
1031,low,very_high,very_high,very_low,medium,medium,very_low,good
1032,high,low,medium,medium,medium,low,high,bad
1033,low,high,medium,medium,very_high,high,high,bad
1034,very_low,high,very_high,very_high,low,medium,high,bad
1035,very_low,low,very_high,high,very_high,low,very_low,good
1036,very_low,medium,low,very_low,medium,very_high,low,bad
1037,medium,medium,low,low,high,medium,very_high,bad
1038,medium,low,low,low,high,medium,very_high,bad
1039,very_high,very_low,medium,high,very_high,very_low,very_high,good
1040,very_high,very_high,medium,very_low,very_low,low,high,good
1041,low,very_low,very_high,medium,very_high,medium,medium,good
1042,high,low,medium,very_low,very_high,very_low,high,good
1043,high,low,low,very_high,very_low,medium,medium,bad
1044,high,medium,very_low,very_low,very_high,medium,high,bad
1045,very_high,very_low,medium,very_high,very_low,low,low,bad
1046,very_low,very_high,medium,low,very_high,very_low,very_low,good
1047,very_high,low,low,high,medium,low,high,good
1048,medium,low,high,medium,very_low,medium,low,bad
1049,very_high,medium,low,very_high,very_low,very_low,high,bad
1050,low,very_low,low,very_high,medium,very_low,low,good
1051,very_high,low,very_low,very_low,low,low,medium,bad
1052,low,very_high,medium,low,very_high,low,very_low,good
1053,low,medium,low,medium,medium,high,medium,bad
1054,very_high,very_low,low,very_high,very_high,very_low,high,good
1055,medium,medium,very_high,high,high,low,low,good
1056,medium,low,very_low,medium,medium,very_high,high,bad
1057,high,very_low,medium,very_high,very_low,medium,low,bad
1058,low,very_high,medium,high,very_high,very_low,very_low,good
1059,low,very_low,low,medium,medium,very_high,very_low,bad
1060,low,very_high,medium,very_high,very_high,very_low,low,good
1061,medium,low,high,very_high,low,high,high,good
1062,very_high,high,very_low,high,medium,very_high,very_low,bad
1063,high,very_high,very_low,very_high,medium,very_high,very_high,bad
1064,medium,high,medium,low,medium,low,high,bad
1065,very_low,very_high,medium,very_low,very_high,very_high,high,bad
1066,high,very_high,low,very_high,low,medium,high,bad
1067,low,medium,very_high,very_high,low,very_low,high,bad
1068,high,medium,medium,high,medium,very_low,medium,good
1069,low,very_high,very_low,low,very_high,high,high,bad
1070,low,medium,low,medium,low,very_high,medium,bad
1071,very_high,very_low,very_low,high,low,medium,low,good
1072,low,low,medium,very_high,low,very_low,low,good
1073,medium,very_low,high,medium,low,very_high,low,good
1074,very_low,high,medium,very_low,very_low,very_high,low,bad
1075,high,very_low,low,very_high,medium,low,medium,good
1076,medium,very_high,high,high,low,medium,very_high,bad
1077,medium,low,low,low,very_high,medium,very_high,bad
1078,low,medium,very_high,very_high,high,low,low,good
1079,very_high,low,medium,high,high,very_low,very_high,good
1080,high,very_low,high,very_high,high,high,medium,good
1081,very_low,high,medium,very_high,low,very_low,very_low,good
1082,medium,high,very_high,very_low,medium,medium,low,good
1083,high,very_high,medium,very_low,low,low,low,good
1084,high,very_low,medium,low,low,low,medium,good
1085,very_high,high,very_low,very_low,high,low,low,bad
1086,medium,high,high,medium,medium,very_low,very_high,bad
1087,low,very_low,low,medium,low,low,low,good
1088,very_low,low,high,low,very_high,very_high,very_high,bad
1089,medium,low,very_low,high,very_low,very_high,very_low,bad
1090,low,very_high,very_high,very_low,very_low,high,low,good
1091,very_high,medium,very_low,low,very_high,very_high,low,bad
1092,low,medium,medium,very_high,medium,high,medium,bad
1093,very_high,very_low,medium,very_low,very_low,high,very_low,bad
1094,low,high,low,high,medium,very_high,high,bad
1095,low,medium,high,very_low,very_low,very_high,low,good
1096,medium,medium,very_high,very_low,very_low,medium,low,bad
1097,very_high,medium,high,very_high,very_low,low,high,good
1098,very_high,low,medium,high,very_high,very_low,very_high,good
1099,very_high,very_high,low,very_high,very_high,very_low,high,good
1100,low,high,low,very_low,low,high,low,bad
1101,high,very_low,very_high,high,medium,very_high,very_high,good
1102,very_low,medium,very_high,high,medium,medium,medium,bad
1103,very_low,low,very_low,medium,medium,very_high,very_low,bad
1104,medium,very_high,high,medium,very_low,low,high,bad
1105,high,medium,medium,very_low,medium,low,very_high,good
1106,very_high,very_low,high,high,low,very_high,low,good
1107,very_low,very_high,high,very_low,high,low,very_low,good
1108,very_high,very_low,very_low,very_high,very_high,medium,medium,good
1109,high,medium,high,low,medium,very_low,very_high,good
1110,very_low,medium,very_high,high,high,low,very_high,bad
1111,high,medium,medium,very_low,low,medium,medium,good
1112,very_high,high,low,high,very_low,medium,medium,good
1113,low,very_low,low,low,very_high,high,high,bad
1114,very_high,very_high,medium,very_high,low,very_low,very_high,good
1115,very_low,medium,medium,low,medium,very_high,low,bad
1116,low,medium,very_high,very_low,very_low,high,high,good
1117,very_low,very_high,medium,very_low,medium,low,very_low,good
1118,medium,low,very_high,medium,high,medium,low,good
1119,very_low,very_high,high,medium,very_high,very_low,very_low,good
1120,high,very_high,very_low,very_high,very_high,very_low,medium,good
1121,very_high,very_low,low,high,medium,medium,low,good
1122,low,medium,low,low,very_high,high,very_high,bad
1123,low,high,very_low,medium,medium,very_low,low,good
1124,very_low,low,very_high,very_low,medium,high,very_low,bad
1125,high,high,low,very_high,high,high,high,bad
1126,medium,low,high,high,medium,medium,low,bad
1127,medium,very_low,very_high,low,high,high,very_low,good
1128,low,high,low,very_low,high,very_high,medium,bad
1129,medium,very_high,low,high,low,high,very_low,bad
1130,very_high,low,very_low,medium,very_high,low,very_high,good
1131,high,very_low,high,high,very_low,low,very_low,bad
1132,very_high,very_low,medium,high,very_low,medium,very_low,bad
1133,low,low,very_high,medium,medium,medium,low,bad
1134,medium,low,medium,high,very_low,medium,low,bad
1135,very_high,high,very_low,high,very_high,low,medium,good
1136,medium,high,medium,low,medium,very_high,medium,good
1137,low,medium,very_high,low,high,medium,low,good
1138,very_low,medium,very_high,very_high,very_low,high,low,bad
1139,low,very_high,high,very_low,very_low,high,medium,good
1140,medium,low,high,medium,very_low,medium,medium,bad
1141,very_low,medium,high,medium,high,high,medium,bad
1142,high,very_low,high,very_low,very_high,very_low,very_high,good
1143,very_high,high,low,low,high,high,very_low,bad
1144,low,medium,very_high,medium,medium,high,medium,good
1145,very_high,low,low,high,low,low,very_high,bad
1146,very_low,low,very_high,medium,low,medium,very_high,bad
1147,very_high,low,very_low,very_high,high,high,high,good
1148,very_high,low,low,high,high,low,high,good
1149,high,medium,medium,low,very_high,very_low,very_high,good
1150,very_high,medium,very_low,low,very_low,high,low,good
1151,very_low,high,very_high,very_low,very_low,high,high,good
1152,very_high,very_low,very_high,low,very_low,medium,very_low,bad
1153,low,low,low,very_low,very_low,very_high,very_low,bad
1154,medium,high,medium,very_low,high,very_low,very_high,bad
1155,very_low,medium,low,high,medium,very_high,medium,bad
1156,high,medium,medium,medium,very_low,high,high,bad
1157,high,very_high,medium,low,very_low,high,medium,good
1158,high,low,very_high,high,very_low,very_low,low,bad
1159,high,low,medium,medium,very_low,high,high,bad
1160,very_high,medium,high,high,low,medium,high,bad
1161,medium,high,high,low,high,very_low,very_high,bad
1162,very_high,low,low,high,high,low,high,good
1163,very_low,very_low,high,very_low,low,very_high,very_low,bad
1164,very_low,low,high,low,low,medium,very_low,bad
1165,medium,high,high,very_low,very_low,very_high,very_high,good
1166,low,medium,high,very_low,very_low,medium,low,bad
1167,medium,very_low,very_high,medium,medium,high,high,good
1168,very_high,high,very_low,very_low,high,low,high,bad
1169,high,high,low,very_high,low,low,medium,good
1170,very_low,medium,low,low,low,very_high,low,bad
1171,very_low,very_high,very_high,very_high,very_low,very_low,high,good
1172,very_low,medium,high,very_high,medium,medium,very_high,good
1173,high,medium,very_low,very_low,very_high,very_high,very_low,bad
1174,very_low,medium,very_low,very_low,low,very_high,very_low,bad
1175,high,high,very_high,very_low,very_high,very_low,very_high,good
1176,medium,very_high,very_high,high,medium,low,high,bad
1177,low,low,very_high,very_low,medium,medium,very_low,good
1178,very_high,very_low,high,very_high,medium,very_high,medium,good
1179,high,very_high,low,high,very_low,very_low,high,bad
1180,high,high,low,low,medium,high,medium,bad
1181,high,very_low,high,medium,high,very_low,high,good
1182,very_high,very_low,high,high,low,very_high,low,good
1183,very_high,very_high,low,very_high,low,very_low,high,good
1184,very_low,very_high,medium,low,high,low,very_low,good
1185,low,medium,low,very_low,high,very_high,low,bad
1186,high,high,high,very_low,very_high,very_low,very_high,good
1187,medium,medium,medium,very_high,very_low,high,low,bad
1188,very_high,very_low,very_low,very_high,low,high,medium,good
1189,high,low,low,high,very_low,medium,low,bad
1190,very_high,high,very_low,very_low,very_high,low,high,bad
1191,very_low,low,medium,medium,very_high,very_high,very_high,bad
1192,very_high,medium,very_low,medium,low,medium,low,bad
1193,low,very_low,medium,low,very_high,high,very_high,bad
1194,very_low,low,high,high,low,medium,very_high,bad
1195,very_low,high,very_high,very_high,very_low,low,very_high,bad
1196,medium,medium,medium,medium,low,very_high,medium,bad
1197,low,very_high,high,low,high,very_low,very_low,good
1198,very_high,very_high,high,medium,very_low,very_low,high,good
1199,high,high,medium,very_high,low,very_low,high,bad
1200,very_low,low,low,low,low,high,very_low,bad
1201,very_high,very_low,high,very_low,very_high,low,very_high,good
1202,very_low,high,very_high,very_low,very_high,very_low,very_high,bad
1203,low,very_low,very_high,high,very_low,low,very_low,bad
1204,low,low,very_high,high,very_high,low,very_low,good
1205,very_low,very_high,very_low,very_low,low,very_high,high,bad
1206,very_high,high,very_low,low,very_high,medium,low,bad
1207,high,very_high,medium,medium,very_low,low,high,good
1208,very_high,low,medium,very_high,low,high,low,good
1209,low,medium,high,high,very_high,medium,medium,good
1210,medium,very_high,low,high,high,very_high,very_high,bad
1211,very_low,medium,very_high,very_low,high,medium,low,good
1212,low,very_low,very_high,high,very_high,medium,high,good
1213,very_low,high,very_high,medium,medium,low,very_high,bad
1214,high,low,high,very_low,very_high,very_low,very_high,bad
1215,very_low,very_high,very_low,medium,low,high,medium,bad
1216,very_high,low,medium,medium,very_high,very_low,very_high,good
1217,low,high,low,very_low,high,very_high,very_low,bad
1218,very_high,very_low,very_low,high,very_high,medium,high,good
1219,medium,medium,very_high,low,medium,high,medium,good
1220,low,very_low,medium,very_low,medium,very_low,high,good
1221,low,high,very_high,low,very_high,low,medium,bad
1222,high,very_low,very_high,low,medium,very_high,high,good
1223,very_high,medium,very_high,very_low,very_high,very_low,very_high,good
1224,high,very_low,very_low,medium,low,medium,very_low,good
1225,medium,medium,very_high,high,medium,high,high,good
1226,very_high,high,low,very_high,very_low,low,high,bad
1227,medium,medium,medium,low,very_high,low,high,bad
1228,high,very_low,very_low,very_high,medium,low,medium,good
1229,high,very_high,medium,high,low,very_low,low,bad
1230,medium,low,low,very_high,low,very_low,very_low,bad
1231,low,very_low,high,very_low,low,high,very_low,bad
1232,very_low,low,medium,medium,very_high,high,very_high,bad
1233,low,low,low,high,very_low,low,very_low,bad
1234,medium,high,high,high,low,low,medium,bad
1235,high,high,very_low,very_high,very_low,high,high,bad
1236,high,medium,very_low,high,very_low,medium,low,bad
1237,high,very_low,medium,low,medium,low,low,good
1238,very_low,low,very_low,medium,very_low,very_high,very_low,bad
1239,high,low,low,very_high,very_low,medium,medium,bad
1240,high,low,medium,low,very_high,medium,high,good
1241,high,high,low,very_high,medium,very_low,medium,good
1242,low,low,very_high,very_low,very_low,medium,very_low,bad
1243,medium,low,high,medium,very_low,very_low,medium,good
1244,low,very_low,very_high,medium,high,high,medium,good
1245,high,very_low,very_high,very_high,very_low,very_low,low,bad
1246,very_high,low,medium,medium,very_high,very_low,very_high,good
1247,medium,medium,medium,low,high,low,high,bad
1248,high,very_low,very_high,very_low,low,very_high,low,good
1249,very_low,medium,high,low,very_high,very_low,very_high,bad
1250,high,very_high,high,medium,medium,very_low,very_high,good
1251,medium,low,medium,high,low,high,medium,bad
1252,low,medium,medium,medium,high,medium,high,bad
1253,very_high,low,very_low,high,medium,medium,medium,good
1254,low,low,very_high,very_high,very_high,low,medium,good
1255,low,medium,very_low,medium,medium,very_high,low,bad
1256,very_high,low,very_low,very_high,very_low,high,low,bad
1257,very_high,medium,low,very_high,very_low,very_low,low,bad
1258,medium,very_high,medium,high,low,medium,very_low,bad
1259,very_high,very_high,low,low,very_low,very_high,very_low,good
1260,medium,very_high,very_low,low,medium,high,low,good
1261,very_high,high,very_low,high,medium,low,high,good
1262,very_high,high,medium,very_low,very_high,low,very_high,good
1263,high,low,very_low,low,high,very_high,medium,bad
1264,very_low,high,very_high,high,very_high,very_low,very_low,good
1265,very_high,very_low,very_high,high,very_high,very_low,very_high,good
1266,low,low,very_low,medium,medium,very_high,medium,bad
1267,medium,low,medium,high,low,low,very_high,bad
1268,medium,low,medium,medium,very_high,very_low,low,good
1269,low,very_high,very_low,low,very_low,very_high,medium,bad
1270,medium,medium,very_high,low,medium,low,low,bad
1271,very_low,very_high,medium,very_low,low,medium,low,bad
1272,very_low,very_high,very_high,very_high,low,very_low,very_high,good
1273,medium,medium,low,low,very_high,low,very_high,bad
1274,very_low,very_high,low,medium,very_high,very_high,medium,bad
1275,very_low,medium,low,very_low,medium,very_high,very_low,bad
1276,low,medium,high,very_high,very_high,medium,very_high,bad
1277,high,very_low,very_high,very_high,high,very_high,very_high,good
1278,medium,very_high,low,very_low,low,medium,high,good
1279,very_high,very_low,very_high,medium,low,very_high,low,good
1280,medium,medium,low,low,high,medium,very_high,bad
1281,medium,very_low,very_low,low,very_low,high,very_low,bad
1282,high,very_high,low,medium,very_low,low,medium,good
1283,very_high,very_low,high,very_high,very_high,very_high,very_high,good
1284,very_high,high,very_low,very_low,high,medium,very_low,bad
1285,low,medium,very_low,very_low,very_low,medium,very_low,good
1286,high,very_low,very_low,medium,very_high,very_high,medium,bad
1287,very_low,high,very_high,high,high,medium,very_high,bad
1288,very_high,very_low,very_low,medium,low,high,very_low,good
1289,medium,high,low,low,low,high,medium,bad
1290,low,very_low,very_high,medium,low,very_high,low,bad
1291,high,very_low,very_high,high,high,high,medium,good
1292,medium,high,low,low,medium,medium,medium,bad
1293,low,medium,medium,very_low,high,high,medium,bad
1294,low,low,low,low,medium,very_high,very_low,bad
1295,very_low,low,very_high,low,medium,low,very_low,good
1296,medium,high,low,very_high,high,medium,medium,good
1297,high,very_low,very_high,very_high,medium,very_high,high,good
1298,low,high,very_high,medium,very_high,very_low,very_low,good
1299,low,very_low,very_low,medium,low,very_high,very_low,bad
1300,low,low,very_high,low,medium,high,very_low,good
1301,very_high,low,medium,very_high,very_low,very_low,medium,bad
1302,low,very_high,very_low,low,low,very_high,medium,bad
1303,medium,medium,very_low,medium,high,high,medium,bad
1304,high,low,medium,very_high,high,very_low,medium,good
1305,very_low,very_high,very_high,very_high,very_low,very_low,very_high,bad
1306,very_low,medium,high,medium,low,medium,high,bad
1307,very_low,very_high,high,very_low,medium,low,very_low,good
1308,low,very_low,high,very_low,very_low,high,low,bad
1309,low,high,very_high,low,medium,medium,medium,good
1310,medium,low,medium,medium,very_low,medium,very_low,bad
1311,very_low,very_high,high,very_low,very_high,low,low,good
1312,very_high,medium,very_low,high,very_low,medium,low,good
1313,very_low,very_low,high,high,very_low,high,very_low,bad
1314,very_low,low,very_high,very_high,medium,low,very_high,bad
1315,low,medium,high,medium,medium,high,low,good
1316,high,very_low,very_high,very_high,medium,very_high,very_high,good
1317,very_high,very_low,very_high,very_high,very_low,very_high,very_high,bad
1318,very_low,medium,low,medium,low,very_high,low,bad
1319,high,low,very_low,low,medium,very_high,low,bad
1320,medium,medium,medium,low,very_high,low,very_high,bad
1321,low,very_low,high,high,very_low,high,very_low,bad
1322,medium,high,high,high,high,low,high,bad
1323,medium,low,low,medium,high,very_low,high,good
1324,high,very_high,low,low,medium,low,medium,bad
1325,medium,very_high,low,very_low,medium,medium,very_low,good
1326,very_high,very_high,very_low,very_high,low,medium,low,bad
1327,very_high,very_low,medium,low,very_low,very_high,medium,good
1328,high,medium,very_low,very_high,low,very_high,medium,bad
1329,medium,medium,low,very_high,very_low,very_low,medium,bad
1330,high,medium,very_low,high,very_low,medium,low,bad
1331,high,low,very_low,very_high,very_low,medium,low,bad
1332,high,very_high,very_low,low,medium,very_high,medium,bad
1333,very_low,medium,low,high,very_low,medium,low,bad
1334,medium,high,low,very_low,very_high,very_low,high,bad
1335,very_high,very_low,very_low,very_high,medium,medium,high,good
1336,medium,very_high,high,high,medium,medium,high,good
1337,high,medium,high,low,very_low,very_high,medium,good
1338,very_low,very_low,low,high,high,high,very_low,bad
1339,high,very_low,medium,medium,high,very_low,medium,good
1340,high,low,high,medium,low,very_high,medium,good
1341,very_high,very_low,high,low,very_high,low,very_high,good
1342,medium,high,very_low,very_low,high,very_high,low,bad
1343,low,very_high,high,very_low,low,very_high,very_low,good
1344,low,low,medium,medium,very_low,very_low,very_low,bad
1345,low,low,very_high,medium,high,medium,low,good
1346,very_high,low,high,low,very_low,very_high,high,good
1347,high,high,high,high,low,very_low,high,bad
1348,very_high,medium,very_low,medium,medium,very_high,low,bad
1349,high,very_high,low,medium,high,very_low,high,good
1350,very_low,medium,very_high,high,low,high,high,bad
1351,very_high,low,very_low,medium,very_low,high,low,bad
1352,very_low,medium,low,medium,very_low,high,low,bad
1353,very_low,high,high,low,high,medium,very_low,good
1354,very_high,very_low,very_low,medium,low,very_high,medium,good
1355,medium,very_low,medium,high,medium,high,low,bad
1356,very_high,very_high,very_low,very_low,low,high,high,good
1357,very_low,medium,medium,low,high,very_high,high,bad
1358,medium,very_high,very_low,low,high,low,very_low,good
1359,very_low,high,high,high,medium,high,high,good
1360,very_low,medium,medium,high,very_low,very_high,high,bad
1361,very_high,medium,very_low,medium,very_low,medium,low,bad
1362,very_high,very_low,medium,low,very_high,low,high,good
1363,very_high,medium,high,very_high,low,very_low,high,bad
1364,medium,very_high,medium,low,very_low,high,high,bad
1365,low,very_high,very_low,very_low,low,very_high,high,bad
1366,very_low,low,very_high,medium,very_high,medium,very_high,bad
1367,high,high,low,medium,low,high,medium,good
1368,low,medium,very_high,very_low,low,high,very_low,good
1369,very_high,very_low,very_low,high,high,medium,medium,good
1370,high,very_low,very_high,very_low,low,very_high,low,good
1371,low,high,low,very_high,low,high,high,bad
1372,medium,medium,medium,low,medium,very_high,medium,bad
1373,very_high,very_low,medium,high,medium,low,very_high,good
1374,very_low,very_low,low,low,very_high,very_high,high,bad
1375,low,very_high,low,low,high,high,low,bad
1376,very_high,very_low,high,very_low,very_high,very_low,very_high,good
1377,medium,high,medium,high,low,very_low,high,good
1378,medium,very_high,very_high,low,very_high,very_low,very_high,good
1379,low,high,high,low,medium,low,very_high,bad
1380,low,very_high,low,very_low,high,very_high,low,bad
1381,very_high,very_low,very_low,low,medium,very_high,high,good
1382,medium,very_high,medium,very_high,medium,very_low,very_high,good
1383,high,low,very_high,very_high,very_low,very_low,medium,bad
1384,medium,high,high,low,low,high,low,good
1385,high,very_high,medium,very_low,high,low,very_high,good
1386,high,very_low,very_high,very_high,very_high,very_high,very_high,good
1387,low,very_low,very_high,medium,medium,high,high,good
1388,very_low,low,medium,low,low,medium,very_low,bad
1389,very_low,medium,very_high,very_low,high,medium,very_low,good
1390,very_low,high,very_high,very_low,high,very_high,medium,bad
1391,high,high,very_low,very_low,very_high,medium,medium,bad
1392,high,high,low,low,low,high,medium,bad
1393,high,high,medium,low,low,low,high,good
1394,very_low,very_high,high,very_low,very_low,medium,medium,good
1395,high,very_low,medium,very_high,very_low,very_low,very_low,bad
1396,medium,very_low,medium,very_low,high,low,high,good
1397,very_high,low,medium,low,very_high,low,high,good
1398,high,low,high,medium,medium,high,very_low,good
1399,very_high,medium,high,very_high,very_low,very_low,medium,bad
1400,high,high,very_low,medium,high,low,medium,bad
1401,very_low,very_high,very_high,high,high,very_high,high,bad
1402,high,medium,high,very_low,very_low,very_high,medium,good
1403,medium,very_high,low,medium,very_high,very_low,very_high,good
1404,very_high,low,very_low,low,high,medium,medium,bad
1405,medium,high,low,medium,very_low,low,medium,good
1406,high,very_low,medium,medium,high,very_low,very_high,good
1407,low,medium,medium,medium,low,medium,low,bad
1408,low,very_high,very_low,very_low,high,very_high,medium,bad
1409,very_low,low,low,low,low,very_high,low,bad
1410,very_low,very_high,high,very_low,medium,medium,very_low,good
1411,very_low,medium,very_high,high,medium,very_low,very_high,bad
1412,medium,very_high,medium,high,very_high,very_low,high,good
1413,low,very_high,low,medium,high,medium,very_low,good
1414,very_low,low,very_high,low,low,high,medium,good
1415,high,very_high,low,very_high,very_low,medium,very_low,bad
1416,very_low,low,high,very_low,high,very_high,very_low,bad
1417,high,high,very_low,very_high,low,high,medium,bad
1418,medium,medium,high,very_high,medium,very_high,very_high,good
1419,high,high,very_low,very_high,medium,very_high,medium,bad
1420,low,very_low,high,very_high,low,very_low,medium,good
1421,high,very_high,very_low,high,very_low,medium,very_low,good
1422,low,medium,very_high,low,low,very_low,very_high,bad
1423,very_high,very_low,very_low,low,very_low,high,very_low,bad
1424,low,low,medium,high,high,very_high,low,bad
1425,very_high,very_high,high,very_low,high,very_low,high,good
1426,low,high,high,high,very_high,low,very_low,good
1427,very_low,very_high,very_high,high,high,very_low,very_high,bad
1428,high,very_high,low,very_high,low,medium,high,bad
1429,medium,low,high,low,very_low,low,very_low,bad
1430,low,medium,low,high,very_low,low,very_low,bad
1431,medium,very_high,medium,low,medium,medium,high,good
1432,high,high,low,high,low,low,high,good
1433,very_low,very_low,high,very_low,low,very_high,very_low,bad
1434,medium,low,very_low,very_low,medium,very_high,very_low,bad
1435,very_high,high,very_low,very_low,high,very_low,high,bad
1436,medium,low,low,low,very_high,very_high,low,bad
1437,low,high,very_high,very_low,low,high,low,good
1438,very_high,low,low,low,high,low,high,good
1439,high,very_high,high,low,low,high,high,bad
1440,low,low,low,high,low,high,low,bad
1441,low,very_low,high,very_high,very_low,high,high,bad
1442,very_high,very_low,low,high,very_high,very_low,high,good
